Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	633	751	0
1	634	540	0
1	635	559	0
1	636	3304	3
1	637	796	0
1	638	3648	3
1	639	2615	2
1	640	1545	1
1	641	1660	1
1	642	2320	2
1	643	1741	1
1	644	2341	2
1	645	285	0
1	646	449	0
1	647	487	0
1	648	412	0
1	649	344	0
1	650	2747	2
1	651	146	0
1	652	194	0
1	653	148	0
1	654	146	0
1	655	143	0
1	656	147	0
1	657	148	0
1	658	1806	1
1	659	2774	2
1	660	4025	4
1	661	2273	2
1	662	431	0
1	663	1775	1
1	664	2461	2
1	665	3337	3
1	666	3693	3
1	667	1109	1
1	668	2247	2
1	669	2462	2
1	670	1884	1
1	671	1482	1
1	672	2348	2
1	673	21	0
1	674	22	0
1	675	21	0
1	676	24	0
1	677	19	0
1	678	20	0
1	679	20	0
1	680	22	0
1	681	33	0
1	682	32	0
1	683	34	0
1	684	33	0
1	685	43	0
1	686	47	0
1	687	81	0
1	688	50	0
1	689	28	0
1	690	58	0
1	691	36	0
1	692	27	0
1	693	64	0
1	694	33	0
1	695	28	0
1	696	2466	2
1	697	242	0
1	698	288	0
1	699	328	0
1	700	277	0
1	701	212	0
1	702	588	0
1	703	4038	4
1	704	1924	1
1	705	1800	1
1	706	3953	3
1	707	685	0
1	708	635	0
1	709	1987	1
1	710	301	0
1	711	287	0
1	712	2362	2
1	713	88	0
1	714	86	0
1	715	85	0
1	716	82	0
1	717	84	0
1	718	156	0
1	719	127	0
1	720	2445	2
1	721	3134	3
1	722	1806	1
1	723	3025	3
1	724	2319	2
1	725	1964	1
1	726	35	0
1	727	36	0
1	728	36	0
1	729	36	0
1	730	36	0
1	731	36	0
1	732	1057	1
1	733	3015	3
1	734	2983	2
1	735	1682	1
1	736	516	0
1	737	2787	2
1	738	126	0
1	739	285	0
1	740	458	0
1	741	522	0
1	742	355	0
1	743	341	0
1	744	380	0
1	745	154	0
1	746	131	0
1	747	260	0
1	748	2975	2
1	749	814	0
1	750	827	0
1	751	3446	3
